Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Bien, Nina; Ten Oever, Sanne; Goebel, Rainer; Sack, Alexander T; ","The sound of size: crossmodal binding in pitch-size synesthesia: a combined TMS, EEG and psychophysics study",NeuroImage,59,1,663-672,2012,Academic Press
"Jacques, Corentin; Schiltz, Christine; Collet, Kevin; ten Oever, Sanne; Goffaux, Valerie; ",Scrambling horizontal face structure: behavioral and electrophysiogical evidence for a tuning of visual face processing to horizontal information,Journal of Vision,11,11,656-656,2011,The Association for Research in Vision and Ophthalmology
"Blokland, Arjan; Ten Oever, Sanne; Van Gorp, Dennis; Van Draanen, Michael; Schmidt, Theodor; Nguyen, Emily; Krugliak, Alexandra; Napoletano, Anthony; Keuter, Sarah; Klinkenberg, Inge; ",The use of a test battery assessing affective behavior in rats: order effects,Behavioural brain research,228,1,16-21,2012,Elsevier
"Ten Oever, Sanne; Sack, Alexander T; Wheat, Katherine L; Bien, Nina; Van Atteveldt, Nienke; ",Audio-visual onset differences are used to determine syllable identity for ambiguous audio-visual stimulus pairs,Frontiers in psychology,4,,331,2013,Frontiers
"Ten Oever, Sanne; Schroeder, Charles E; Poeppel, David; Van Atteveldt, Nienke; Zion-Golumbic, Elana; ",Rhythmicity and cross-modal temporal cues facilitate detection,Neuropsychologia,63,,43-50,2014,Pergamon
"Ten Oever, Sanne; Van Atteveldt, Nienke; Sack, Alexander T; ",Increased stimulus expectancy triggers low-frequency phase reset during restricted vigilance,Journal of cognitive neuroscience,27,9,1811-1822,2015,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Ten Oever, Sanne; Sack, Alexander T; ",Oscillatory phase shapes syllable perception,Proceedings of the National Academy of Sciences,112,52,15833-15837,2015,National Academy of Sciences
"Petras, Kirsten; Ten Oever, Sanne; Jansma, Bernadette M; ",The effect of distance on moral engagement: Event related potentials and alpha power are sensitive to perspective in a virtual shooting task,Frontiers in Psychology,6,,2008,2016,Frontiers
"Ten Oever, Sanne; Romei, Vincenzo; van Atteveldt, Nienke; Soto-Faraco, Salvador; Murray, Micah M; Matusz, Pawel J; ","The COGs (context, object, and goals) in multisensory processing",Experimental brain research,234,5,1307-1323,2016,Springer Berlin Heidelberg
"Ten Oever, Sanne; ",How neuronal oscillations code for temporal statistics,,,,,2016,Proefschriftmaken. nl|| Uitgeverij BOXPress
"Ten Oever, Sanne; Hausfeld, Lars; Correia, João Mendonca; Van Atteveldt, Nienke; Formisano, Elia; Sack, Alexander Thomas; ",A 7T fMRI study investigating the influence of oscillatory phase on syllable representations,NeuroImage,141,,1-9,2016,Academic Press
"Ten Oever, Sanne; De Graaf, Tom A; Bonnemayer, Charlie; Ronner, Jacco; Sack, Alexander T; Riecke, Lars; ",Stimulus presentation at specific neuronal oscillatory phases experimentally controlled with tACS: Implementation and applications,Frontiers in cellular neuroscience,10,,240,2016,Frontiers
